query_id,corpus_id
q82d4c6ec,d81a04fe4
q82d4c6ec,d842c8cfa
q82d4c6ec,d8d3fbbaa
q82d4c6ec,d81a04f9e
q82d4c6ec,d8823b39c
q82d4c6ec,d8e436060
q82d4c6ec,d88be204e
q82d4c6ec,d86bdfada
q82d4c6ec,d8c9cf7da
q82d4c6ec,d8f8bc700
q855a35a0,d88a932c4
q855a35a0,d8b39b2a2
q855a35a0,d86400cb0
q855a35a0,d86ce3bac
q855a35a0,d8b190c28
q855a35a0,d8bef68f4
q855a35a0,d899b62b0
q855a35a0,d814f5ab2
q855a35a0,d8f3eb2a8
q855a35a0,d8de3982e
q85384530,d8bea8ef6
q85384530,d8ba2e3a8
q85384530,d81decc88
q85384530,d8642a2d6
q85384530,d88d15efc
q85384530,d8c56f0fa
q85384530,d8eaab9f4
q85384530,d820b0d2a
q85384530,d8b42c1b2
q85384530,d8f73dde8
q842c8af2,d88f7b976
q842c8af2,d89c4f80a
q842c8af2,d8c1da4a8
q842c8af2,d863c221c
q842c8af2,d8945848a
q842c8af2,d8ae38df0
q842c8af2,d8a951e18
q842c8af2,d86458d48
q842c8af2,d8a522c8e
q842c8af2,d8b1dbec6
q85451756,d8196f46c
q85451756,d8d6f4578
q85451756,d8646ec7e
q85451756,d881e1fe0
q85451756,d87981b7a
q85451756,d8bbb843a
q85451756,d870d5f76
q85451756,d8e3d6c1e
q85451756,d882f9fae
q85451756,d8aa80316
q85737826,d8d4f7194
q85737826,d8a2da2c4
q85737826,d8ef908ca
q85737826,d8753470c
q85737826,d864959e6
q85737826,d830e507e
q85737826,d8c70859c
q85737826,d86338094
q85737826,d816616ee
q85737826,d8d0c3578
q827742c4,d8bef68b8
q827742c4,d895e2bd4
q827742c4,d8f73def6
q827742c4,d88863d0a
q827742c4,d85fa1fac
q827742c4,d8e5c11e6
q827742c4,d885897b0
q827742c4,d87a70a72
q827742c4,d895e2c42
q827742c4,d85fa207e
q81e448f2,d8159e28e
q81e448f2,d8b7e8062
q81e448f2,d8ca03350
q81e448f2,d86f84ad2
q81e448f2,d86979160
q81e448f2,d8159e2fc
q81e448f2,d8f5af530
q81e448f2,d8df987ba
q81e448f2,d8b6054e8
q81e448f2,d8b6dd9ec
q82305cc4,d815f4936
q82305cc4,d8af691c0
q82305cc4,d86b7c0fc
q82305cc4,d8a27a798
q82305cc4,d8a27a662
q82305cc4,d86617468
q82305cc4,d8402e5a8
q82305cc4,d882b615a
q82305cc4,d8db0b1d4
q82305cc4,d8bc8d338
q81a100a6,d81a10218
q81a100a6,d81a10394
q81a100a6,d8f38c398
q81a100a6,d8f31013a
q81a100a6,d86a58ad6
q81a100a6,d8247dfb6
q81a100a6,d89348b4e
q81a100a6,d87c45258
q81a100a6,d880f1126
q81a100a6,d8159e39c
q847a1ac4,d8b0a1dda
q847a1ac4,d8cf64060
q847a1ac4,d82c60742
q847a1ac4,d8a149ac2
q847a1ac4,d8ebf3866
q847a1ac4,d889e4cf6
q847a1ac4,d810b7770
q847a1ac4,d89794072
q847a1ac4,d871f3354
q847a1ac4,d8f46fab2
q82bb179c,d87ec1c16
q82bb179c,d82afa5ce
q82bb179c,d8da2d456
q82bb179c,d891db18a
q82bb179c,d82aee5bc
q82bb179c,d8bfc2a30
q82bb179c,d8a1209b0
q82bb179c,d8ac73128
q82bb179c,d8996d8a8
q82bb179c,d82e9295c
q82787914,d886121d2
q82787914,d81e4fd60
q82787914,d85f61e70
q82787914,d881a7aa2
q82787914,d818bcd08
q82787914,d812325d2
q82787914,d82d8f140
q82787914,d8b2035c0
q82787914,d8bc3a426
q82787914,d814f5ab2
q847c4394,d83b9f406
q847c4394,d88aec84c
q847c4394,d8723e8e0
q847c4394,d89ff7b38
q847c4394,d8be6bbe6
q847c4394,d8bcb8358
q847c4394,d8b4b05e8
q847c4394,d87b0fbb8
q847c4394,d87e41e8a
q847c4394,d8b5f3e32
q85306054,d867cd352
q85306054,d8aefb4b8
q85306054,d8be6bd58
q85306054,d86875c6e
q85306054,d8b308e20
q85306054,d8e50d826
q85306054,d88d9abe8
q85306054,d8734bd46
q85306054,d8ddd93c0
q85306054,d888523c0
q81b147b8,d89a56f26
q81b147b8,d8dfc2998
q81b147b8,d87b9bb90
q81b147b8,d89e3c514
q81b147b8,d88940c14
q81b147b8,d880d3bee
q81b147b8,d8f8467a8
q81b147b8,d8ed89996
q81b147b8,d8d768298
q81b147b8,d86b2f860
q81a86062,d88453c88
q81a86062,d8cf80d14
q81a86062,d897fcac8
q81a86062,d86e6deaa
q81a86062,d8db8ad80
q81a86062,d8acffa88
q81a86062,d88cf8cf8
q81a86062,d8db8ace0
q81a86062,d81bf4296
q81a86062,d813b8ffa
q852ed734,d8b378806
q852ed734,d87cbde88
q852ed734,d8e7cc7b0
q852ed734,d8402ea26
q852ed734,d89c7a122
q852ed734,d8784315a
q852ed734,d815dda9c
q852ed734,d81521004
q852ed734,d8ce91fac
q852ed734,d8955b986
q81097aec,d8dae16c2
q81097aec,d886f7ea8
q81097aec,d8dae1604
q81097aec,d8a71dfde
q81097aec,d80f19b2a
q81097aec,d89bf23bc
q81097aec,d889f777a
q81097aec,d8b8a5a54
q81097aec,d8785f030
q81097aec,d88e286d2
q8232eeda,d8d6c5f34
q8232eeda,d87903324
q8232eeda,d85e5ed3e
q8232eeda,d8e64bb7a
q8232eeda,d8c18d5ae
q8232eeda,d8a7a808a
q8232eeda,d8d3624aa
q8232eeda,d8bf0d6f8
q8232eeda,d8ce1449e
q8232eeda,d8ec131ca
q82c368f2,d8e361acc
q82c368f2,d8d5dd810
q82c368f2,d8df5ff96
q82c368f2,d89381ff2
q82c368f2,d8ab110be
q82c368f2,d89a25598
q82c368f2,d8c0cb13e
q82c368f2,d8ab5b8f8
q82c368f2,d89cb9994
q82c368f2,d8a6affd4
q83dfd0c2,d83c8aec4
q83dfd0c2,d8c72d13a
q83dfd0c2,d881e1fe0
q83dfd0c2,d88163758
q83dfd0c2,d899c585a
q83dfd0c2,d8ac4107e
q83dfd0c2,d881e206c
q83dfd0c2,d8d77291e
q83dfd0c2,d8f7acea0
q83dfd0c2,d8ce91fac
q84448792,d8a3e1b0e
q84448792,d8dbcea9e
q84448792,d860c5168
q84448792,d8e4ea592
q84448792,d8ba7ffd2
q84448792,d8964494c
q84448792,d82c60742
q84448792,d818bcd08
q84448792,d8aae8a4c
q84448792,d8e2434d8
q8332f334,d8784315a
q8332f334,d8955b986
q8332f334,d8cb2d460
q8332f334,d81521004
q8332f334,d8e41ad2e
q8332f334,d87cbde88
q8332f334,d8f6f5502
q8332f334,d8ba8007c
q8332f334,d8ce2f3a2
q8332f334,d86e3821e
q83905290,d87b64280
q83905290,d885f4074
q83905290,d87f3c42a
q83905290,d86400e4a
q83905290,d8cbf2558
q83905290,d8f46fab2
q83905290,d895ff3b0
q83905290,d8aba7460
q83905290,d8e881796
q83905290,d8d1371a8
q84a187b2,d8852cae2
q84a187b2,d899c5800
q84a187b2,d89a9ce54
q84a187b2,d8bcb8524
q84a187b2,d8ad65806
q84a187b2,d8d858572
q84a187b2,d8de5817a
q84a187b2,d826da890
q84a187b2,d85f2a2b8
q84a187b2,d87194ca0
q833c8228,d8c9261a8
q833c8228,d872e4146
q833c8228,d8aff4fc2
q833c8228,d8a3edbd4
q833c8228,d8187d63a
q833c8228,d8a2c359c
q833c8228,d8b6053ee
q833c8228,d8f67cc1a
q833c8228,d87882954
q833c8228,d8b5136ac
q85c8bb88,d815c51b8
q85c8bb88,d883919a8
q85c8bb88,d88f7ba2a
q85c8bb88,d87a70a72
q85c8bb88,d880bf112
q85c8bb88,d82375240
q85c8bb88,d8609ed92
q85c8bb88,d8dc8cc10
q85c8bb88,d895e2c42
q85c8bb88,d8bc3a250
q8144794e,d81447b6a
q8144794e,d8c9261a8
q8144794e,d89f12dbc
q8144794e,d8187d63a
q8144794e,d860c5168
q8144794e,d86d31078
q8144794e,d87e7dfe8
q8144794e,d8d259c84
q8144794e,d88778e04
q8144794e,d8a2c359c
q84abfc2e,d820d05c6
q84abfc2e,d88540362
q84abfc2e,d86df4e2e
q84abfc2e,d87cadb64
q84abfc2e,d87cadb14
q84abfc2e,d82b41fe6
q84abfc2e,d82604286
q84abfc2e,d87445238
q84abfc2e,d8c5e03c2
q84abfc2e,d81d04d98
q811aabe6,d8c13b57e
q811aabe6,d8f64af44
q811aabe6,d898c4456
q811aabe6,d8292c3fa
q811aabe6,d892b089e
q811aabe6,d830e507e
q811aabe6,d864b4e9a
q811aabe6,d8cc15ef4
q811aabe6,d898c44b0
q811aabe6,d86155c04
q811d0d0a,d811d1048
q811d0d0a,d89f869ec
q811d0d0a,d811c3808
q811d0d0a,d880b0446
q811d0d0a,d886121d2
q811d0d0a,d8bc3a426
q811d0d0a,d88c3582a
q811d0d0a,d8e6d7e0e
q811d0d0a,d8d960532
q811d0d0a,d87479920
q82364166,d8d7205ce
q82364166,d8def80e4
q82364166,d81dfb3aa
q82364166,d8f1dae78
q82364166,d8c2afa90
q82364166,d8e8673b4
q82364166,d8a789310
q82364166,d8f1daee6
q82364166,d85fff328
q82364166,d8b7a8c8c
q83c3dbba,d8a751f5a
q83c3dbba,d89710f24
q83c3dbba,d8a6e6e94
q83c3dbba,d8dd40e9a
q83c3dbba,d8ac67ef4
q83c3dbba,d87b22704
q83c3dbba,d8dc39f74
q83c3dbba,d867fd5e8
q83c3dbba,d8927fb9a
q83c3dbba,d89eaf528
q8258ff9e,d8b62739a
q8258ff9e,d87208146
q8258ff9e,d8973c304
q8258ff9e,d8d2dc882
q8258ff9e,d8f24878e
q8258ff9e,d8829b0ee
q8258ff9e,d8198bf9a
q8258ff9e,d82080652
q8258ff9e,d8d5fef7e
q8258ff9e,d884fed36
q84360b04,d8b8490b0
q84360b04,d8adb2b7e
q84360b04,d8aa75894
q84360b04,d8e09d098
q84360b04,d8bcea286
q84360b04,d894c2fd8
q84360b04,d896c4606
q84360b04,d82223914
q84360b04,d838d65da
q84360b04,d8ef60a94
q8397ee9c,d842dcd36
q8397ee9c,d8aaa2970
q8397ee9c,d8c8acc0e
q8397ee9c,d8e075caa
q8397ee9c,d875670c6
q8397ee9c,d8a103658
q8397ee9c,d812de404
q8397ee9c,d8bc6e46a
q8397ee9c,d8bdb736c
q8397ee9c,d8d9982c0
q818cb290,d8f838bc6
q818cb290,d8eaff5c2
q818cb290,d868871c6
q818cb290,d8f8bc7fa
q818cb290,d818cb4d4
q818cb290,d8b4b0674
q818cb290,d8e3bfd70
q818cb290,d87c1d62c
q818cb290,d86e5817c
q818cb290,d8632221c
q8203fe68,d8204017e
q8203fe68,d8623d036
q8203fe68,d878828b4
q8203fe68,d89e993f4
q8203fe68,d885de8dc
q8203fe68,d81dfb328
q8203fe68,d87085ecc
q8203fe68,d87adb16a
q8203fe68,d8eed0b92
q8203fe68,d86979160
q82f207b6,d82f20c66
q82f207b6,d86d4d87c
q82f207b6,d876fa082
q82f207b6,d89ad1aa0
q82f207b6,d88100b3a
q82f207b6,d8ba20e42
q82f207b6,d89ad1a00
q82f207b6,d89d0b0dc
q82f207b6,d8124326a
q82f207b6,d8ad37730
q83e3e52c,d816cabc6
q83e3e52c,d8e625600
q83e3e52c,d818fa748
q83e3e52c,d8927fac8
q83e3e52c,d8e2dc6e2
q83e3e52c,d8bb12af8
q83e3e52c,d8a02a010
q83e3e52c,d880209cc
q83e3e52c,d8ec31756
q83e3e52c,d87019b46
q82374f34,d81f93334
q82374f34,d8630ab80
q82374f34,d82375240
q82374f34,d810fb4f2
q82374f34,d8779f424
q82374f34,d89854f98
q82374f34,d8da9f902
q82374f34,d8a0bcdb6
q82374f34,d8c97588e
q82374f34,d889169f0
q83e16b08,d878c12ee
q83e16b08,d867cd352
q83e16b08,d827ba4e0
q83e16b08,d89f4dcdc
q83e16b08,d89cfc60e
q83e16b08,d8be6bd58
q83e16b08,d8e50d826
q83e16b08,d8d04d418
q83e16b08,d8bf90c88
q83e16b08,d8612d92a
q830208be,d82074424
q830208be,d8bd1789e
q830208be,d8291aa56
q830208be,d868c17b8
q830208be,d8e675b8c
q830208be,d8de10faa
q830208be,d8e879730
q830208be,d87e7dfe8
q830208be,d8a44df02
q830208be,d87e7df98
q83554574,d82ba7300
q83554574,d8913765c
q83554574,d8a0f7ab0
q83554574,d89749644
q83554574,d8b49cc32
q83554574,d8b94b080
q83554574,d8a4806b4
q83554574,d8b012ac2
q83554574,d818bcd08
q83554574,d8ca0fea2
q848f1da2,d820b0dc0
q848f1da2,d8c23f8da
q848f1da2,d8870b3cc
q848f1da2,d8187d7d4
q848f1da2,d87097820
q848f1da2,d8120e3bc
q848f1da2,d8b20f8b6
q848f1da2,d8d2c9b06
q848f1da2,d88940cfa
q848f1da2,d86b05b96
q84494d40,d8f8cb3f4
q84494d40,d8402e864
q84494d40,d8c7a8e52
q84494d40,d8c00bfa0
q84494d40,d86c4ff10
q84494d40,d8e6fae54
q84494d40,d892da8e2
